Cleaned_Comment,Predicted_Sentiment
russia went gate kiev back started day operation year war,1.0
look away day russia owns map sudden sheesh quick ukrainian offensive failed let russia take ukraine want see germany next day,2.0
maybe time seek peace exchange land back exchange eu fasttrack membership give away donbas crimea russia hand rest back least thered b peace economic developement ukraine end,1.0
alaska comparison would apt alaska industrial heartland coastline comprised important usa coastline,1.0
russia achieved goal year ago theyre defending land already liberated youve lied liberal medium,2.0
russia ever great military power cursed lunatic leader willing sacrifice people en masse,2.0
war still going geez aid west youd think would steamrolled russia,1.0
united state paying back mountain debt seriously anyone answer guy see many dollar owe,1.0
quite peace negotiation u talk,2.0
evil rich men send poor men die cause fight,0.0
biden destroying world since came office incompetent plain evil harris big liability usa,2.0
fake news,1.0
wrong statistic must taken russian propaganda source,0.0
stalemate russia never looked completely senseless war didnt denazify anything,0.0
war even still going dont hear much news anymore israel new flavour month,1.0
wasnt,1.0
give ukraine see russia german winter,1.0
biden democrat giving money away ukraine bribed,1.0
u european cannot afford endless war anymore,2.0
wait assured ukraine winning,2.0
conflict ukraine known corrupt country europe biggest trade black market guess everyone forgot,1.0
russia right defend,2.0
world upside,2.0
russia right defend,2.0
least elensky wife new luxury stuff,0.0
dang almost forgot war glad russia well,1.0
oh great another mostly staged nondebate among war mongering blood thirsty republican salivating even involvement oppose silenced,1.0
ukrainian army run cannon fodder former u envoy,0.0
thought ukraine winning,1.0
may dangerous america enemy america friend fatal henry kissinger rip ukraine,1.0
america lost yet,2.0
still funding ukraine waste time money,0.0
congratulation president ukraine president heroic,1.0
whats ukraine historical russian clay ukraine administrative mistake thanks lenin set satellite state never supposed gain kind autonomy nato inviting self ukraine absolutely ridiculous development russia never tolerate situation also pronounced kievkeyyev keev heil russia,2.0
foreigner aint going tell price country higher doesnt get monetary gain want,1.0
long live russia,0.0
ukraine armed force performing well great counteroffensive allow russian gain land generosity,1.0
congrats war barely gain couple hundred square mile dirt,1.0
russia control russia lost land took russia control percent ukraineso ukraine taking land back shut news military worse enemy,0.0
lol sent money troop israel aleady spend billion dollar lol sorry ukraine boy zelensky said stand israel cosigned u diverting aid help bomb kid take land poor people oh kinda sound like whats happening ukraine doesnt oh well,2.0
keep giving advanced weapon technology ukraine former ussr state wise reverse engineering idiot charge afraid putting boot ground future security said conflict tax money spent give ukrainian weapon technology wouldnt otherwise learned nothing collapse ussr,0.0
joke,2.0
nbc finally tell truth ukrainerussia war month propaganda coverage cost life approximately ukrainian,1.0
sanction going,1.0
crimea already occupied since donetsk luhansk separatist state friendly russia russia didnt fight gain war would say russia gained like land southern ukraine condition already setup russia gain since start war cost k russian casualty,1.0
went daily lie ukraine still winning saying stale mate nice way saying youre lol,0.0
breaking news russiaa russian elite almost passed iq test,1.0
rothschild left chat,1.0
country u completely chaos send tax payer money country im voting soo much false promise,1.0
sorry conflict much bigger,2.0
hawaii billion rebuild rebuilt send money ukraine israel dont support aid billion billion five billion rebuild hawaii,2.0
turn propaganda dont win war,2.0
beginning warit ukraine seems making progress resisting russian agression,1.0
yep controlled world land area could russia silly comparison controlled solar system excluding sun would saturn maybe uranus mine apple pear,1.0
thought putin wouldnt get wanted next taiwan,1.0
always pray lord jesus christ every day peace negotiationstalking looking peaceful solutionslord jesus christ true lordwho died cross atone sin rose rd dayonly lord jesus christ way eternal life father house heavenhe really hate nuclear weaponsbecause nuclear weapon big sinsbig sin eternal fire hellfirebecause nuclear weapon terrible weaponsnuclear weapon big sinsbig sin eternal fire hellfirenuclear power plant big sinballistic missile hypersonic missile big sinsnuclear power plant big sinsnuclear weapon big sinsbig sin eternal fire hellfirebecause nuclear weapon terrible weapon,0.0
policy enacted palestina ukraina people go usa german uk every eu country accept immigrant ukraina best possible solution better live germany waiting visa ukraina whatever least putin genocidal maniac biden netanyahu putin went ukraina izrael went palestina poland would emigrate spain fear double standard medium,1.0
russia right defend,2.0
american support ukraine slowly steadily pushing back russian occupation force,2.0
u didnt ask wackzensky wont allow election,0.0
ukraine play ground zelensky sold,1.0
republican party pro dictatorship already shown u plenty time,2.0
russia control crimea tell black sea fleet commander,2.0
europe evil nation center war pity,2.0
anyone common sense already saw coming youd incredibly clueless brainwashed ever think ukraine could win,1.0
send help uhkraine please,1.0
u give enough weapon mark milley said way back may ukrainian tool successful counteroffensive since give atacms still break zelensky incompetent told keep striking crimea onto russia anyhow zelensky incompetent fool,1.0
russia need stop took land georgia ukraine,1.0
complete waste human life money russia never give crimea zelensky deluded fool planet reminds notorious historical figure wouldnt see writing wall zelensky hero zero,0.0
good,0.0
thumb nbc b news go watch international news circuit im disputing info im disputing source,2.0
western medium funny full drug related mindset,2.0
