Comment,Like,Dislike
Russia went from being at the gates of Kiev to back where they started 😂 from a 3 day “operation” to a 2 year war 💀💀💀💀💀💀💀💀💀💀💀💀,0,0
We look away for a few days and Russia owns the map all of a sudden. Sheesh that was quick. The Ukrainian offensive has failed. Now what? Do we let Russia take all of Ukraine? I want to see what Germany will do in the next few days.,0,0
Maybe time to seek Peace in exchange for some* of that land back ?  In exchange for E.U. fast-track membership = give away Donbass & Crimea.  Russia hand the rest back over.  @ least there'd b Peace & Economic Developement in Ukraine if it ends.,0,0
The Alaska comparison would be apt if Alaska were the industrial heartland and its coastline comprised the most important USA coastline.,0,0
Russia achieved its goals over a year ago. Now they're defending the land that was already liberated. You've been lied to by the liberal media once again.,0,0
Was Russia ever a great military power or just cursed with lunatic leaders willing to sacrifice their people en masse?,0,0
"This war is still going on? geez

With all the aid from the west, you'd think that they would have steamrolled Russia by now",0,0
How is the United States paying back this mountain of debt? Seriously anyone have a answer did you guys see how many dollars you owe,0,0
Very quite peace negotiations if u talk about it here :D,0,0
Evil rich men send poor men to die for a cause they will not fight.,0,0
"Biden has been destroying the World since he came to office. He is not just incompetent, but plain evil and Harris is a big liability for our USA",1,0
FAKE NEWS !,0,0
wrong statistics must be taken from Russian propaganda sources.,0,0
"It’s just a stalemate now. Russia will never be looked at the same again for what it did. Completely senseless war, they didn’t denazify anything.",0,0
Is this war even still going on? Don’t hear much about it in the news anymore. Israel is the new flavour of the month,0,0
wasnt that 24%?,0,0
Give it up Ukraine you see what Russia did to the Germans In the winter,0,0
Biden and the democrats are only giving our money away to Ukraine because they have been bribed.,0,0
"Спасибо американским друзьям, которые ведут украину и киевский режим к полному провалу и тотальному уничтожению 🤙",4,0
To US: We european cannot afford this endless war anymore.,0,0
4 Alaska’s wow,0,0
"Wait what??? I was assured that Ukraine was ""winning""?",1,0
"Before this conflict ukraine was known for the most corrupt country in Europe, an biggest trade of black market 🤧🤧 i guess everyone forgot about that",1,0
Russia has the right to defend itself,3,0
the world is upside down🙃😶 ????????????,1,0
Russia has right to defend itself ❤ 🇷🇺,1,0
زت,0,0
at least elensky and his wife has new luxury stuff,3,0
Dang almost forgot about this war. Glad Russia is doing well,6,0
Oh great another mostly staged non-debate among war mongering blood thirsty Republicans salivating over even more involvement. Those who do oppose it are silenced.,0,0
Ukrainian Army Has 'Run Out of Cannon Fodder' - Former US Envoy,0,0
I thought ukraine is winning,1,0
"“It may be dangerous to be America's enemy, but to be America's friend is fatal.” ― Henry Kissinger 
RIP Ukraine",17,0
America has lost yet again.,1,0
Why are we still funding ukraine? Waste of time and money.,0,0
Congratulations to President Ukraine! The president is very heroic,0,0
"What’s this “Ukraine”? Its historical Russian clay, Ukraine is an administrative mistake thanks to how Lenin set up satellite states, it was never supposed to gain any kind of autonomy.
And NATO inviting them selves to Ukraine is an absolutely ridiculous development, Russia will never tolerate such a situation.
It’s also pronounced Kiev(Key-Yev) NOT Keev.
Heil Russia 🇦🇺🤝🏻🇷🇺",0,0
A foreigner ain't going to tell me the price for my country will be higher if he doesn't get the monetary gains  he wants.,1,0
God bless Ukraine.🙏🇺🇦,7,0
long live russia!,4,0
Ukraine armed forces have been performing so well in their great counteroffensive that now they allow the Russians to gain land. What a generosity.,11,0
Congrats ..all that war to barely gain a couple hundred square miles of dirt,4,0
Russia NOW controls? RUssia has lost land that they took. Russia did control 25 percent of ukraine...so ukraine is taking land back. SHUT UP> the news is a militaries worse enemy.,0,0
"lol we sent money and troops to Israel who we aleady spend 40 billion dollars on lol
Sorry, Ukraine. But your boy Zelensky said he stands with Israel. So he cosigned on us diverting your aid to help bomb kids and take more land from poor people. Oh that kinda sounds like what's happening in Ukraine doesn't it? oh well.",1,0
"Why keep giving Advanced Weapons Technology to Ukraine, a former USSR state? Is that wise? Reverse engineering ? Idiots in charge are afraid of putting boots on the ground... But what about our future security when said conflict is over? Why is my tax money spent to give Ukrainians weapons technology that they wouldn't otherwise have? Learned nothing after the collapse of USSR...",0,0
What a joke.,0,0
Good bless Ukraine 🇺🇦 🇺🇦🇺🇦❤️❤️❤️🙏🙏🙏,0,0
"NBC finally tells the truth about the Ukraine/Russia war after months of propaganda coverage which has cost the lives of approximately 500,000 Ukrainians",0,0
"Tellement de négativités de critiques infondées ... C'est juste incroyable. À voir ce qui se dit en France sur la Russie, on oublie qu'il a des gens avec un cœur qui vivent dans ce pays. J'habite en Russie depuis plus de 10 ans et la situation et l'avenir est loin d'être critique. Je vous invite à venir regarder quelques-unes de mes vidéos, pour voir la réalité en Russie et une réalité nettement plus positive.",0,0
How are those sanctions going?,1,0
"Crimea was already ""occupied"" since 2014 and Donetsk and Luhansk were separatists states friendly to Russia (which Russia didn't have to fight to gain in the war). 
So I would say Russia gained like a few % of land (southern ukraine where conditions were already setup for Russia to gain) since the start of the war, but at a cost of 300k russian casualties.",12,0
"They went from the daily lie, that Ukraine is still winning, to now saying Stale Mate 😂😂😂 Is that a nice way of saying, you're on your own.. lol",4,0
Breaking News out of Russia.........A Russian Elite almost passed an IQ test.,1,0
Rothschild left the chat,0,0
Our own country in the US is completely in chaos and we’re here send our tax payers money to other countries. I’m not voting no more soo much false promises.,0,0
"Sorry, the 1973 conflict was much bigger",0,0
Ukraine lost long time ago,0,0
Hawaii. 5 billion to rebuild. When it’s rebuilt THEN you can send money to Ukraine and Israel. Until then. I don’t support any aid. 16billion here 108 billion there. FIVE BILLION TO REBUILD HAWAII,1,0
Turns out Propaganda don't win wars...,0,0
"At the beginning of the war,it was 30% but now it is down to 18%. Ukraine seems to be making progress in resisting Russian agression.",11,0
"Yep, if they controlled 18% of the worlds land area they could have..... .... Russia! 
What a silly comparison. If they controlled 18% of the solar system excluding the sun, they would have Saturn.... .... ... or maybe it's Uranus, not mine. 
Apples and pears.",0,0
They thought Putin wouldn’t get what he wanted? Next Taiwan.,0,0
"I always pray to Lord Jesus Christ every day for peace negotiations..talking to each other looking for  peaceful solutions..Lord Jesus Christ the true Lord..who died on the cross to atone for sins and rose again on the 3rd day..only Lord Jesus Christ the way to  eternal life (father house) or heaven,,,,,,,.....He really hate nuclear weapons,,because nuclear weapons  is  big sins..big sins is the eternal fire of hellfire..because nuclear weapons is very terrible weapons..nuclear weapons  are  big sins..big sins is the eternal fire of hellfire..nuclear power plant is big sin..ballistic missiles and hypersonic missiles is big sins..nuclear power plant is big sins...nuclear weapons is big sins..big sins is the eternal fire of hellfire..because nuclear weapons is very terrible weapons",0,0
"Same policy should be enacted as in palestina. Ukraina people should go to usa, german, uk. Every eu country should accept immigrants from ukraina. Best possible solution. Better to live for them in germany and not waiting for visa than in ukraina whatever. At least putin is not genocidal maniac as biden and netanyahu. If putin went on ukraina as izrael went on palestina, poland would emigrate to spain out of fear. What a double standard media",0,0
I support putin o yah,0,0
Russia has the right to defend itself 👏,21,0
"With American support, Ukraine has been slowly but steadily pushing back Russian occupation force.",1,0
u didnt ask  WACKZENSKY  about how he wont allow elections...   ,0,0
Ukraine has been a play ground for who? Zelensky sold out.,0,0
the Republican party is pro dictatorship they have already shown us this plenty of times,0,0
"'russia controls Crimea"" tell that to the black sea fleet commanders.",1,0
I love Russia and Putin,1,0
"Europe is an evil nation, center of war again and have no pity for them!.",0,0
Anyone with common sense already saw this coming. You'd have to be incredibly clueless or brainwashed to ever think Ukraine could win.,1,0
Send help for Uhkraine please,0,0
Go Russia 🇷🇺🇷🇺,8,0
"The US did give enough weapons. Mark Milley said way back in May that the Ukrainians had all the tools for a successful counter-offensive.  They have since been give atacms. And still no break through.  
Zelensky is incompetent. He was told not to keep striking Crimea and onto Russia but he did it anyhow.
Zelensky is an incompetent fool.",0,0
Russia needs to be stop they took land from Georgia now Ukraine,0,0
"A complete waste of human life and money. Russia will never give up Crimea. Zelensky is the most deluded fool on the Planet. 
Reminds me of some other notorious historical figure who wouldn't see the writing on the wall.
Zelensky : from hero to zero",0,0
This is not good 😐,0,0
"Thumbs down. NBC bs news. Go watch international news circuits. I'm not disputing the info, I'm disputing the source.",0,0
"Western Media is so funny, and it is full of drug related mindset.",0,0
Where is all the oversight to verify the weapons going to Ukraine is actually being used?  How do we know???,7,0
Only 18.?   I think that will change by Christmas,4,0
Is this just a desperate attempt to flood Ukraine and Israel with the failing dollar? Hmmm,0,0
"Israeli occupied West Bank no problem!!!  
Russian occupied Ukraine is only problem.....",3,0
It makes sense all Russians grow up playing counterstrike and red alert and now its real.,23,0
Crimea should belong to Turkey,0,0
👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻,0,0
"Ukraine military commander has already spoken to Economist magazine saying Ukraine CANNOT win this war, and that they are stalemated.
Zelensky lying to steal US tax payer money. Italian premier also said the same about EU support.
Why NBC is not telling americans the TRUTH ?",0,0
Defund Ukraine NOW!,0,0
But you guys have been telling people ukraine are winning,3,0
"Lies lies lies.  What happened to Ukrain winning ?  Putin is insane? AttCking Moscow ?  Putin intending to move into the rest of Europe?

Lies lies lies .  Western Media and Western Govetnments  LIES LIES LIES  obeying their ZIONIST PUPPET MASTERS   Disgusting !!!",0,0
Russia is the strongest military country at the moment.,8,0
They might occupy small areas but good luck making it a Russian community,0,0
But I thought there was a big counter offensive that was going to happen???,41,0
Is today the day the mighty USA realizes it’s not as amazing as everyone in it thinks they are?,1,0
"Biden and the dems will find a way to continue supporting Ukraine while also addressing the need for support to Israel and better support for the southern border issues. Bidens recent proposal has funding for all 3 of these important issues, but unfortunately those on the vocal Far Right ignore this and simply continue trying to divide the country with anti-Ukraine misinformation. The reality is that Biden is exhibiting excellent leadership in the 3 challenges, and therefore expect resolution of the crisis over time unless the GOP is successful in their anti-Biden efforts.",12,0
"Biden wants $150B for Ukraine and Israel while 600,000 Americans are homeless, more than 1 million American women are prostitutes, selling their bodies to make a living, more than 60% of Americans are living paycheck to paycheck, etc. Can anyone tell me why the US government is willing to pay billions of dollar to support wars in other countries but spent almost nothing to help its own citizens?",1,0
"No more aid to Ukraine. Who does this track suit wearing guy think he is??!!!  How dare him make demands and threats.  Go away!!! I hope we stop fundong that criminal ,!!! Make peace now!! No more deaths!",0,0
The U.S. media has been saying for 18 months that Russia is losing!!!,0,0
And Ukraine can't kick them out. Almost like they have the 2nd largest military on Earth 🤔,12,0
America Once again is Too Slow to Provide the Right Weapons Causing The Loss of The Ukrainian Army.,0,0
"They control 100% of Crimea, and 85% of the annexed territories ( all of which the people just voted last month to be ""Russia""). At this point, it is more accurate to say Ukraine is occupying about 0.4% of Russia.",1,0
"Trump:  Let me end this war in 24 hours (by handing Ukraine over to Russia) and I will lower your gas, food, and rent bills from liberal landlords if you elect me...",0,0
Crimea doesn’t even want to be a part of Ukraine.,53,0
"Those billions need to go to the border, and to rebuilding America! God bless Mike Johnson for being responsible!",15,0
"It’s funny to me how the rhetoric is quickly changing. Gone from we are winning to its a stale mate, to let’s negotiate. Makes you wonder what the point of this whole thing was considering that every fair minded person already knew the outcome.",91,0
Take it all Russia 100% every single square inch,3,0
"If we let Putin win here he will turn his eyes on to another Eastern European country, Putin has upped his War output to 6 % of GDP he is preparing for years more of war.",0,0
